Invoice
internalId	attachFlag	syncVersion	SerNr	ToSerNr	TransDate	TransTime	Office	Department	Computer	FormType	Status	User	Shift	ShiftNr	Synchronized	Printed	Invalid	OriginNr	OriginType	InvalidDate	Currency	BaseRate1	BaseRate2	FromRate	ToBaseRate1	ToBaseRate2	BaseRate	CurrencyRate	CustCode	CustName	SalesMan	SalesGroup	InvoiceFather	DocType	InvoiceDate	DueDate	ServiceDate	PayTerm	City	Address	ProvinceCode	Province	Country	ZipCode	LocalityCode	Locality	Contact	ContactName	ShipTerms	ShipMode	UpdStockFlag	StockDepo	POSCode	RefStr	DelAddress	DelCity	DelProvinceCode	DelProvince	DelCountry	DelZipCode	DelLocalityCode	DelLocality	DelFromTime	DelToTime	DelContact	DelContactName	WayBillNr	PurchaseOrderNr	AuthorizedBy	PriceDeal	DiscountDeal	Labels	Comment	Reason	Campaign	Language	CustOrdNr	Commision	NoInterestFlag	DisputedFlag	Installments	ManualInstallments	FirstDueDay	GProfit	GMargin	TotalTax	VatTotal	Total	SubTotal	Saldo	OpenFlag	Clauses	OfficialSerNr	ToOfficialSerNr	TaxRegNr	oldPayTerm	TaxRegType	PrintedFlag	FiscalInvoice	InvoiceType	AppliesToInvoiceNr	PrintFormat	Guarantees	TotalCost	ArtCodeName	RecAcc	OnAccNr	OnAccValue	Internalflag	ReturnValue	CAIDate	CAI	Return	Paid
Installs
internalId	masterId	rowNr	rowId	InstallNr	DueDate	Amount	InterestAmount	CapitalAmount	Costo	Gananacia	Margen	Saldo	OpenFlag
Items
internalId	masterId	rowNr	rowId	ArtCode	Name	Labels	SerialNr	Qty	Qty2	Price	BasePrice	VATPrice	Discount	RowTotal	UnitFactor	VATCode	Unit	RowNet	OriginType	OriginRowNr	OriginSerNr	LuxGoodTax	Pos	Mrk	Comment	Cost	GProfit	GMargin	Markup	Stock	MarkupDiscount	SalesAcc	Recipe
Payments
internalId	masterId	rowNr	rowId	PayMode	Comment	CreditCard	Plan	AuthorizationCode	ChequeNr	BatchNr	Paid	Installments
Taxes
internalId	masterId	rowNr	rowId	TaxCode	Amount

\N	\N	\N	\N	\N	2018-11-22	15:13:12	1	\N	CJ01	\N	0	Arturo	\N	\N	\N	\N	False	\N	1	\N	GS	\N	\N	\N	\N	\N	3900.0	1.0	CXXXX	Cliente Mostrador	Arturo	SALON	\N	1	2018-11-22	2018-11-22	\N	CONT	AYOLAS	AYOLAS	8	Misiones	py		1	Asunción	\N	\N	\N	\N	True	CC	\N	\N			\N		\N				\N	\N	\N	\N	\N	\N	\N	L1G	DIPLO	\N	\N	\N	\N	es	\N	\N	\N	\N	0	\N	\N	100.0	1654641.0	0.0	165459.0	1820100.0	1654641.0	1820100.0	True	\N	\N	\N	CXXXX	CONT	1	\N	\N	0	\N	0	\N	0.0	\N	\N	\N	\N	False	\N	\N	\N	\N	\N

\N	\N	0	\N	7896731011674	CARAMELO SABOR CAFE 100G	\N	\N	1.0	\N	4091.0	\N	4500.0	0.0	4500.0	\N	10	UNI	4091.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	4091.0	\N	\N	\N	\N	\N
\N	\N	1	\N	7896321015051	CARAMELO MASTICABLE FLORESTAL 250G	\N	\N	1.0	\N	3636.0	\N	4000.0	0.0	4000.0	\N	10	UNI	3636.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	3636.0	\N	\N	\N	\N	\N
\N	\N	2	\N	7790580471309	CARAMELOS DUROS RELLENOS FRUTALES ARCOR 810G	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
